date,baseline_value,selection1_value,selection2_value,adx,regime
2022-08-09 09:00:00,2094859.5891950245,1874096.179651466,2094859.5891950245,20.576046891826266,sideways
2022-08-10 09:00:00,2263214.859315159,1961397.793772792,2263214.859315159,21.107854665365693,sideways
2022-08-11 09:00:00,2223526.908765662,1930945.2953102505,2223526.908765662,22.19481618161129,sideways
2022-08-12 09:00:00,2266578.927906654,1968332.337259769,2266578.927906654,23.204136674586234,sideways
2022-08-13 09:00:00,2268568.5159993256,1970060.1264544954,2268568.5159993256,24.49443820677913,sideways
2022-08-14 09:00:00,2215204.2899838137,1923717.803923428,2215204.2899838137,25.85227480858612,sideways
2022-08-15 09:00:00,2177139.0710453195,1890661.3767066146,2177139.0710453195,27.28029651523675,bull
2022-08-16 09:00:00,2292016.6811584253,2016142.143122287,2292016.6811584253,28.12617933453593,bull
2022-08-17 09:00:00,2167605.8930623727,1928411.6467156112,2167605.8930623727,28.0396443062991,bull
2022-08-18 09:00:00,2104752.0995811047,1853264.5736452676,2104752.0995811047,27.959290398203187,bull
2022-08-19 09:00:00,1907567.9176866156,1654722.0038594382,1907567.9176866156,27.25807589250898,bull
2022-08-20 09:00:00,1969854.2917543883,1665403.5586766112,1969854.2917543883,26.60694846348145,bear
2022-08-21 09:00:00,1946496.9014789735,1677548.0339935524,1946496.9014789735,25.620027493917004,bear
2022-08-22 09:00:00,1917300.1636347051,1673870.6856087516,1917300.1636347051,24.84624773170947,bear
2022-08-23 09:00:00,1917423.4923958322,1688476.2896671093,1917423.4923958322,24.27152852289791,sideways
2022-08-24 09:00:00,1902419.7172452456,1682805.896897106,1902419.7172452456,23.516666227228168,sideways
2022-08-25 09:00:00,1922913.59154979,1714701.8562283749,1922913.59154979,22.815722909432715,sideways
2022-08-26 09:00:00,1825164.1217068464,1563018.8496307852,1825164.1217068464,23.315105214864786,sideways
2022-08-27 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,23.995456524476452,sideways
2022-08-28 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,24.940199595204906,sideways
2022-08-29 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,25.518588693574756,sideways
2022-08-30 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,25.918254592722935,bear
2022-08-31 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,26.289372845350435,bear
2022-09-01 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,26.81015667640274,bear
2022-09-02 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,26.86491693068285,bear
2022-09-03 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,26.944285505408033,bear
2022-09-04 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,27.117070076221154,bear
2022-09-05 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,27.25749904768972,bear
2022-09-06 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,28.447009376614442,bear
2022-09-07 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,29.55597174535892,bear
2022-09-08 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,30.58572239011841,bear
2022-09-09 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,29.34238617950569,bear
2022-09-10 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,28.46719355749824,bull
2022-09-11 09:00:00,1829430.4851223202,1545985.344149243,1829430.4851223202,27.78315572370472,bull
2022-09-12 09:00:00,1828561.5056418872,1545251.0011107724,1828561.5056418872,27.89371265961542,bull
2022-09-13 09:00:00,1699084.385095616,1421535.726064949,1699084.385095616,26.050939601393186,bull
